,index,NUTS_ID,CNTR_CODE,NUTS_NAME,Capacity_Wind_on,Capacity_PV,Potential_Wind_on,Potential_PV,RemainingPotential_Wind_on,RemainingPotential_PV,CapacityNational_2030_Wind_on,CapacityNational_2030_PV,CapacityNational_2023_Wind_on,CapacityNational_2023_PV,RemainingPotentialNational_PV,RemainingPotentialNational_Wind_on,Capacity_PV_2030,Capacity_Wind_on_2030,problem_PV,problem_Wind_on,Node,lon,lat
88,88,DE94,DE,Weser-Ems,5694.1885,3429.422313,26840.0,84460.0,21145.8115,81030.577687,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,4275.173026490503,6954.638601811275,False,False,DE2,7.77422,52.93918
89,89,DE21,DE,Oberbayern,229.38955,4416.636838,6266.386037,85470.0,6036.996487,81053.363162,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,5262.625373215197,589.2401443682255,False,False,DE4,11.75558,48.10038
90,90,DE22,DE,Niederbayern,35.45749,4227.329485,6441.568628999999,49360.0,6406.111139,45132.670515,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,4698.398424397638,417.3101059361105,False,False,DE4,12.78679,48.70717
91,91,DE23,DE,Oberpfalz,329.69975,2681.326272,1567.634804,32040.0,1237.935054,29358.673728,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2987.7552764741276,403.490030635484,False,False,DE4,12.11764,49.39865
92,92,DED5,DE,Leipzig,268.64853,985.26265,6933.4195469999995,25930.0,6664.771016999999,24944.73735,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1245.6215171561496,665.9192285932643,False,False,DE4,12.67429,51.35885
93,93,DE12,DE,Karlsruhe,200.0298,1875.069295,0.0,30260.0,0.0,28384.930705,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2171.3349280658704,200.0298,False,True,DE4,8.67783,49.02049
94,94,DE13,DE,Freiburg,294.2077,2043.161722,1636.575163,42470.0,1342.367463,40426.838278,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2465.113882452992,374.2229410989993,False,False,DE4,8.22339,48.02619
95,95,NL23,NL,Flevoland,1667.0,878.0,2865.0,10230.0,1198.0,9352.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,1225.975341496524,1715.1808625463418,False,False,NL3,5.51414,52.55011
96,96,NL31,NL,Utrecht,34.0,1009.0,1645.0,11580.0,1611.0,10571.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,1402.33269193325,98.79079262283543,False,False,NL2,5.17329,52.0972
97,97,NL32,NL,Noord-Holland,755.0,1825.0,3295.0,24040.0,2540.0,22215.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,2651.590270674217,857.1530808578535,False,False,NL2,4.91792,52.60046
98,98,NL33,NL,Zuid-Holland,784.0,2084.0,3330.0,26550.0,2546.0,24466.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,2994.346953063939,886.3943873480689,False,False,NL1,4.48177,51.93728
99,99,NL34,NL,Zeeland,573.0,728.0,3205.0,10270.0,2632.0,9542.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,1083.0449859452344,678.853113707823,False,False,NL1,3.8449,51.46166
100,100,NL41,NL,Noord-Brabant,312.0,3323.0,4950.0,31980.0,4638.0,28657.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,4389.288426140492,498.52991693650574,False,False,NL4,5.18428,51.56141
101,101,NL22,NL,Gelderland,235.0,2460.0,6050.0,30770.0,5815.0,28310.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,3513.377022857848,468.8662067670937,False,False,NL4,5.93797,52.06151
102,102,NL42,NL,Limburg (NL),119.0,1485.0,2160.0,14940.0,2041.0,13455.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,1985.6424529336753,201.0844244216059,False,False,NL4,5.93337,51.20803
103,103,NL11,NL,Groningen,843.0,1344.0,5210.0,19230.0,4367.0,17886.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,2009.5140032086001,1018.6309071284434,False,False,NL3,6.74215,53.21785
104,104,NL12,NL,Friesland (NL),619.0,1026.0,4265.0,15180.0,3646.0,14154.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,1552.6513027739309,765.6339105542258,False,False,NL3,5.79132,53.08592
105,105,NL13,NL,Drenthe,247.0,1337.0,5780.0,18740.0,5533.0,17403.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,1984.5422228468785,469.5248017269698,False,False,NL3,6.61872,52.86227
106,106,NL21,NL,Overijssel,74.0,1624.0,6125.0,24400.0,6051.0,22776.0,7976.0,27263.77,6262.0,19123.0,218787.0,42618.0,2471.4643261254096,317.35759538223283,False,False,NL4,6.44193,52.44533
