,DE,BE,DK,UK,NL,NO
3658,62714.68635,10110.5692929785,5095.682431915472,28057.72963204533,13637.722391981948,15204.556035147252
3659,62967.19281,10156.2403706227,5046.30643783837,28027.31221118907,13747.552503462504,15040.945648083874
3660,61447.59815,10031.3056428704,5027.128051835075,27765.21737920994,13858.159289944011,14925.237705695774
3661,60106.1833,9769.25799926066,4970.222273823727,27025.7415794613,13849.973347528357,14927.755359620502
3662,59455.9661,9698.83990079924,4918.325304584559,26299.13479069046,13879.754578659384,14855.625980234849
3663,59863.36764,9615.987806569,5003.260467839743,26831.46375719511,13996.137205922165,15160.638690956548
3664,60161.01626,9617.67321509554,5151.251940863574,28625.93563557188,13949.152018424205,15319.66655285142
3665,58831.39737,9835.01524364664,5102.78324561039,28644.01900596955,13995.993856859848,15312.555867428495
3666,56446.6622,10014.1734772602,4933.637779504306,27193.59754969357,14127.688558517775,15392.267703292524
3667,54264.4476,9939.90306030489,4766.674333891178,25873.42932390174,14129.70566249891,15116.032154484452
3668,52420.39983,9743.77302686533,4626.837312275209,25516.39848526158,13905.186046390974,14819.886662118317
3669,49780.97344,9767.60109408855,4426.3762020817285,26088.29010652965,13435.524607561789,14366.062971369149
3670,47943.48298,10194.4307795611,4230.969438580261,23112.13192810451,12807.430568393394,14350.314082313416
3671,47955.36045,10090.0332298271,4092.814162871823,20275.9746494,12223.815994382785,13791.924589952501
3672,46296.18715,9735.13506277332,4415.856290294156,19491.81434589745,12124.886961839993,14567.528914661665
3673,45752.10998,9041.42626354375,4401.320147437349,18291.53913426306,11860.133562147808,14406.310716794935
3674,45441.43405,8476.73925411857,4419.944449654984,16881.95827874255,11623.483276777853,14010.458140110219
3675,45254.26663,8158.13153305849,4478.722593855032,15391.44967099053,11377.624640086513,13662.776801287375
3676,45503.66506,7940.8023471591,4659.787167810249,14157.54994287704,11076.672545603731,13287.590683713921
3677,46821.09968,7686.4795398102,4926.8397993320905,15500.45473317392,11008.355977216086,13360.152053611619
3678,50189.29083,7696.35364997927,5140.751473211927,19218.78152157229,11543.174672417646,14335.692595119881
3679,54222.58192,8152.11848708568,5256.046301535927,23541.32922502185,12217.880656636267,15004.965779256983
3680,57531.26115,8785.61590724957,5308.899626128181,26443.49961888756,12773.315714949096,15546.584436315256
3681,58825.25915,9407.4361222918,5325.8023363495595,28117.12432834204,13047.93892082016,15743.652054600301
3682,59259.87437,9706.87948639464,5291.210378119926,28989.40978210934,13266.82701741241,15705.318769251651
3683,59487.48244,9920.8945645212,5245.6210819549615,29934.02115122051,13347.431236832843,15578.950947295445
3684,58706.30267,9874.40658716471,5213.481908411632,30196.20912139574,13467.008729320654,15504.072502692503
3685,57262.6545,9554.64516200908,5177.34027172536,29567.57182339266,13456.054129481543,15535.963342643707
3686,56480.53755,9446.60173554765,5176.407280387442,28658.58991606752,13489.240727771476,15477.128839451045
3687,56451.67435,9325.8475434623,5323.190963828881,29171.85330414652,13733.93178207167,15771.252981507203
3688,57288.41535,9293.79564302244,5486.025025532546,30823.58598987955,14180.248842561914,15958.17514522642
3689,58542.71878,9606.72322577668,5434.716662019407,31732.6443562896,14277.601424692712,16021.685608754962
3690,58593.90181,9970.04362684957,5263.624549178929,31614.82588935699,14423.135312550978,16192.165730820594
3691,57165.5903,10207.8743912475,5082.3509954167,30676.01284280988,14432.81520444086,16010.405697799579
3692,55682.01925,10233.8692735182,4907.161256942914,29276.51270982481,14264.075352741593,15806.817823355792
3693,53617.41528,10197.4939115241,4710.130335764716,28620.35705510374,13792.516195185553,15475.810481017623
3694,50839.78263,10660.765392069,4538.101245640602,24953.76415866411,13169.383738995075,15615.979732750722
3695,49430.85924,10438.7261204023,4422.178867187239,21589.68004775231,12526.363461786874,15176.597776323015
3696,51967.1233,9925.77027653886,4247.134834171374,19258.42885758216,13182.272851659789,15174.954252841455
3697,51587.73117,9210.18000444263,4249.6206247222435,18066.60427677925,13001.242226184186,15119.88100578231
