,Technology,Country,Capacity TYNDP,Capacity ERAA
324,Oil,SE,0.0,0.0
325,Solar,SE,7338.289999999999,7648.741576624081
326,Wind Offshore,SE,5000.0,5000.264154103306
327,Wind Onshore,SE,16901.083,17952.62708796569
328,Biofuels,SI,70.0,70.0
329,Coal & Lignite,SI,584.0,539.0
330,Gas,SI,663.919,445.0
331,Nuclear,SI,703.0,703.0
332,Oil,SI,0.0,0.0
333,Solar,SI,1866.0,1866.0
334,Wind Offshore,SI,0.0,0.0
335,Wind Onshore,SI,150.0,150.0
336,Biofuels,SK,561.104,561.9305676747679
337,Coal & Lignite,SK,358.324,347.3427215
338,Gas,SK,936.752,881.0037566756445
339,Nuclear,SK,2673.954,2814.637264415849
340,Oil,SK,137.83,133.278
341,Solar,SK,1187.879,1187.878787878788
342,Wind Offshore,SK,0.0,0.0
343,Wind Onshore,SK,494.949,494.949494949495
344,Biofuels,TN,0.0,
345,Coal & Lignite,TN,0.0,
346,Gas,TN,5481.0,
347,Nuclear,TN,0.0,
348,Oil,TN,0.0,
349,Solar,TN,1431.0,
350,Wind Offshore,TN,0.0,
351,Wind Onshore,TN,1157.0,
352,Biofuels,TR,3900.0,2300.0
353,Coal & Lignite,TR,21230.025,19206.591509011327
354,Gas,TR,27179.991,25233.3283703223
355,Nuclear,TR,4460.0,4456.0
356,Oil,TR,0.0,316.7191861809105
357,Solar,TR,17500.0,16000.0
358,Wind Offshore,TR,0.0,0.0
359,Wind Onshore,TR,19000.0,17500.0
360,Biofuels,UA,0.0,1533.0
361,Coal & Lignite,UA,835.596,11379.36259582188
362,Gas,UA,0.0,2141.3
363,Nuclear,UA,0.0,12468.0
364,Oil,UA,0.0,0.0
365,Solar,UA,527.575,6365.0
366,Wind Offshore,UA,0.0,0.0
367,Wind Onshore,UA,235.25,5033.0
368,Biofuels,UK,6439.55,10319.110000036
369,Coal & Lignite,UK,3391.998,0.0
370,Gas,UK,27243.523,33688.022059555
371,Nuclear,UK,9327.996,5195.0
372,Oil,UK,459.8,782.8200000100001
