,index,Node,Country,Technology,Capacity our work
0,0,BE2,BE,Coal & Lignite,0.0
1,1,BE1,BE,Gas,947.9939046351657
2,2,BE2,BE,Gas,9161.604095364833
3,3,BE2,BE,Hydro - Pump Storage Closed Loop (Energy),5750.0
4,4,BE2,BE,Hydro - Run of River (Turbine),148.2020000000001
5,5,BE2,BE,Nuclear,2077.0
6,6,DE1,DE,Coal & Lignite,8225.00805144123
7,7,DE2,DE,Coal & Lignite,476.80313087862
8,8,DE3,DE,Coal & Lignite,296.8774211008287
9,9,DE4,DE,Coal & Lignite,8043.21439657932
10,10,DE1,DE,Gas,6981.297779747183
11,11,DE2,DE,Gas,6744.905728407346
12,12,DE3,DE,Gas,870.1379568099076
13,13,DE4,DE,Gas,21172.455535035566
14,14,DE3,DE,Hydro - Pump Storage Closed Loop (Energy),9962.248877031803
15,15,DE4,DE,Hydro - Pump Storage Closed Loop (Energy),619917.5401214325
16,16,DE4,DE,Hydro - Reservoir (Energy),258578.02197802198
17,17,DE1,DE,Hydro - Run of River (Turbine),29.82482833957553
18,18,DE4,DE,Hydro - Run of River (Turbine),4338.5751716604245
19,19,DE1,DE,Oil,159.0691711089957
20,20,DE4,DE,Oil,691.8648288910042
21,21,DK1,DK,Coal & Lignite,0.0
22,22,DK1,DK,Gas,1663.4790000000003
23,23,NL2,NL,Coal & Lignite,0.0
24,24,NL3,NL,Coal & Lignite,0.0
25,25,NL1,NL,Gas,6411.124613887941
26,26,NL2,NL,Gas,1640.4609875674664
27,27,NL3,NL,Gas,2129.267593244
28,28,NL4,NL,Gas,4251.87180530059
29,29,NL1,NL,Nuclear,486.0
30,30,NO1,NO,Gas,265.0
31,31,NO1,NO,Hydro - Pump Storage Closed Loop (Energy),0.0
32,32,NO1,NO,Hydro - Reservoir (Energy),0.0
33,33,UK1,UK,Gas,4376.798454068595
34,34,UK2,UK,Gas,10495.801442495604
35,35,UK3,UK,Gas,1120.286768140388
36,36,UK4,UK,Gas,11250.636335295416
37,37,UK3,UK,Hydro - Pump Storage Closed Loop (Energy),26380.0
38,38,UK3,UK,Hydro - Reservoir (Energy),0.0
39,39,UK3,UK,Hydro - Run of River (Turbine),1507.1312514527294
40,40,UK4,UK,Hydro - Run of River (Turbine),587.9787485479703
41,41,UK1,UK,Nuclear,9327.996
42,42,DE4,DE,Hydro - Pump Storage Open Loop (Energy),416759.0
43,43,NO1,NO,Hydro - Pump Storage Open Loop (Energy),89577419.451951
44,44,UK3,UK,Hydro - Pump Storage Open Loop (Energy),0.0
45,45,BE2,BE,Hydro - Pump Storage Closed Loop (Pumping),-1226.76
46,46,DE3,DE,Hydro - Pump Storage Closed Loop (Pumping),-117.31758751581611
47,47,DE4,DE,Hydro - Pump Storage Closed Loop (Pumping),-7300.2824124841845
48,48,NO1,NO,Hydro - Pump Storage Closed Loop (Pumping),0.0
49,49,UK3,UK,Hydro - Pump Storage Closed Loop (Pumping),-2684.0
50,50,BE2,BE,Hydro - Pump Storage Closed Loop (Turbine),1305.0
51,51,DE3,DE,Hydro - Pump Storage Closed Loop (Turbine),116.74884015183467
52,52,DE4,DE,Hydro - Pump Storage Closed Loop (Turbine),7264.891159848166
53,53,NO1,NO,Hydro - Pump Storage Closed Loop (Turbine),0.0
54,54,UK3,UK,Hydro - Pump Storage Closed Loop (Turbine),2744.0
55,55,DE4,DE,Hydro - Pump Storage Open Loop (Pumping),-1361.0
56,56,NO1,NO,Hydro - Pump Storage Open Loop (Pumping),-1093.41
57,57,UK3,UK,Hydro - Pump Storage Open Loop (Pumping),0.0
58,58,DE4,DE,Hydro - Pump Storage Open Loop (Turbine),1644.1
59,59,NO1,NO,Hydro - Pump Storage Open Loop (Turbine),37829.865000000005
60,60,UK3,UK,Hydro - Pump Storage Open Loop (Turbine),0.0
61,61,DE4,DE,Hydro - Reservoir (Turbine),1297.0
62,62,NO1,NO,Hydro - Reservoir (Turbine),0.0
63,63,UK3,UK,Hydro - Reservoir (Turbine),6.0
64,0,BE1,BE,Solar,1568.000271726557
65,1,BE2,BE,Solar,8831.999728273444
66,2,DE1,DE,Solar,7092.901018412992
67,3,DE2,DE,Solar,4398.8101436801735
68,4,DE3,DE,Solar,6097.4013917823995
69,5,DE4,DE,Solar,78550.53544612444
70,6,DK1,DK,Solar,6466.973
